Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModuloOrganizacion-SubtipoGlobal,Chrome 72.0.3626.96,,2019-02-13 16:23:56,2019-02-13 16:28:08,"4m - 12,315s",FAILED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/IngresoModuloSubtipoGlobal,Chrome 72.0.3626.96,,2019-02-13 16:23:56,2019-02-13 16:24:17,"20,533s",PASSED
callTestCase,Chrome 72.0.3626.96,,2019-02-13 16:23:57,2019-02-13 16:24:15,"18,501s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:24:15,2019-02-13 16:24:16,"0,167s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:24:16,2019-02-13 16:24:16,"0,216s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:24:16,2019-02-13 16:24:17,"1,180s",PASSED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/Crear/Crear,Chrome 72.0.3626.96,,2019-02-13 16:24:17,2019-02-13 16:24:39,"22,412s",PASSED
callTestCase,Chrome 72.0.3626.96,,2019-02-13 16:24:17,2019-02-13 16:24:33,"16,262s",PASSED
navigateToUrl,Chrome 72.0.3626.96,,2019-02-13 16:24:33,2019-02-13 16:24:38,"4,254s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:24:38,2019-02-13 16:24:38,"0,148s",PASSED
selectOptionByValue,Chrome 72.0.3626.96,,2019-02-13 16:24:38,2019-02-13 16:24:38,"0,679s",PASSED
setText,Chrome 72.0.3626.96,,2019-02-13 16:24:38,2019-02-13 16:24:39,"0,199s",PASSED
setText,Chrome 72.0.3626.96,,2019-02-13 16:24:39,2019-02-13 16:24:39,"0,522s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:24:39,2019-02-13 16:24:39,"0,112s",PASSED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/Crear/CrearOtro,Chrome 72.0.3626.96,,2019-02-13 16:24:39,2019-02-13 16:25:01,"21,845s",PASSED
callTestCase,Chrome 72.0.3626.96,,2019-02-13 16:24:40,2019-02-13 16:24:55,"15,440s",PASSED
navigateToUrl,Chrome 72.0.3626.96,,2019-02-13 16:24:55,2019-02-13 16:24:59,"3,879s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:24:59,2019-02-13 16:24:59,"0,128s",PASSED
setText,Chrome 72.0.3626.96,,2019-02-13 16:24:59,2019-02-13 16:25:01,"1,734s",PASSED
setText,Chrome 72.0.3626.96,,2019-02-13 16:25:01,2019-02-13 16:25:01,"0,358s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:25:01,2019-02-13 16:25:01,"0,115s",PASSED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/Editar/EditarBtn,Chrome 72.0.3626.96,,2019-02-13 16:25:01,2019-02-13 16:25:21,"19,689s",PASSED
callTestCase,Chrome 72.0.3626.96,,2019-02-13 16:25:01,2019-02-13 16:25:17,"15,891s",PASSED
navigateToUrl,Chrome 72.0.3626.96,,2019-02-13 16:25:17,2019-02-13 16:25:19,"2,084s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:25:19,2019-02-13 16:25:19,"0,095s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:25:19,2019-02-13 16:25:20,"0,112s",PASSED
selectOptionByValue,Chrome 72.0.3626.96,,2019-02-13 16:25:20,2019-02-13 16:25:20,"0,666s",PASSED
setText,Chrome 72.0.3626.96,,2019-02-13 16:25:20,2019-02-13 16:25:20,"0,175s",PASSED
setText,Chrome 72.0.3626.96,,2019-02-13 16:25:20,2019-02-13 16:25:21,"0,119s",PASSED
setText,Chrome 72.0.3626.96,,2019-02-13 16:25:21,2019-02-13 16:25:21,"0,222s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:25:21,2019-02-13 16:25:21,"0,083s",PASSED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/Editar/EditarFromShow,Chrome 72.0.3626.96,,2019-02-13 16:25:21,2019-02-13 16:26:10,"48,836s",FAILED
callTestCase,Chrome 72.0.3626.96,,2019-02-13 16:25:21,2019-02-13 16:25:36,"14,668s",PASSED
navigateToUrl,Chrome 72.0.3626.96,,2019-02-13 16:25:36,2019-02-13 16:25:38,"2,748s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:25:38,2019-02-13 16:26:10,"31,259s",FAILED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/Eliminar/Eliminar2,Chrome 72.0.3626.96,,2019-02-13 16:26:10,2019-02-13 16:26:49,"39,150s",FAILED
openBrowser,Chrome 72.0.3626.96,,2019-02-13 16:26:10,2019-02-13 16:26:12,"2,528s",PASSED
navigateToUrl,Chrome 72.0.3626.96,,2019-02-13 16:26:12,2019-02-13 16:26:18,"5,250s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:26:18,2019-02-13 16:26:49,"31,224s",FAILED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/Eliminar/Eliminar,Chrome 72.0.3626.96,,2019-02-13 16:26:49,2019-02-13 16:27:38,"49,096s",FAILED
callTestCase,Chrome 72.0.3626.96,,2019-02-13 16:26:49,2019-02-13 16:27:05,"15,561s",PASSED
navigateToUrl,Chrome 72.0.3626.96,,2019-02-13 16:27:05,2019-02-13 16:27:07,"2,109s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:27:07,2019-02-13 16:27:38,"31,254s",FAILED
,,,,,,
Test Cases/Organizaciones/Subtipo Global/Filtro/Filtrar,Chrome 72.0.3626.96,,2019-02-13 16:27:38,2019-02-13 16:28:07,"29,545s",PASSED
callTestCase,Chrome 72.0.3626.96,,2019-02-13 16:27:38,2019-02-13 16:27:52,"13,778s",PASSED
navigateToUrl,Chrome 72.0.3626.96,,2019-02-13 16:27:52,2019-02-13 16:27:54,"1,967s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:27:54,2019-02-13 16:27:54,"0,138s",PASSED
selectOptionByValue,Chrome 72.0.3626.96,,2019-02-13 16:27:54,2019-02-13 16:27:54,"0,180s",PASSED
click,Chrome 72.0.3626.96,,2019-02-13 16:27:54,2019-02-13 16:27:54,"0,112s",PASSED
delay,Chrome 72.0.3626.96,,2019-02-13 16:27:54,2019-02-13 16:28:04,"10,010s",PASSED
executeJavaScript,Chrome 72.0.3626.96,,2019-02-13 16:28:04,2019-02-13 16:28:04,"0,035s",PASSED
