Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Submodulo Tipo Global,Chrome 71.0.3578.98,,2019-02-12 17:21:19,2019-02-12 17:26:29,"5m - 9,836s",FAILED
,,,,,,
Test Cases/Login/Logiin,Chrome 71.0.3578.98,,2019-02-12 17:21:19,2019-02-12 17:21:32,"12,713s",PASSED
openBrowser,Chrome 71.0.3578.98,,2019-02-12 17:21:20,2019-02-12 17:21:23,"3,159s",PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-02-12 17:21:23,2019-02-12 17:21:29,"5,645s",PASSED
setText,Chrome 71.0.3578.98,,2019-02-12 17:21:29,2019-02-12 17:21:29,"0,299s",PASSED
setText,Chrome 71.0.3578.98,,2019-02-12 17:21:29,2019-02-12 17:21:29,"0,369s",PASSED
click,Chrome 71.0.3578.98,,2019-02-12 17:21:29,2019-02-12 17:21:32,"2,753s",PASSED
,,,,,,
Test Cases/Organizaciones/IngresoModulo,Chrome 71.0.3578.98,,2019-02-12 17:21:32,2019-02-12 17:21:46,"14,063s",PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-02-12 17:21:32,2019-02-12 17:21:34,"1,641s",PASSED
click,Chrome 71.0.3578.98,,2019-02-12 17:21:34,2019-02-12 17:21:34,"0,169s",PASSED
click,Chrome 71.0.3578.98,,2019-02-12 17:21:34,2019-02-12 17:21:34,"0,159s",PASSED
click,Chrome 71.0.3578.98,,2019-02-12 17:21:34,2019-02-12 17:21:36,"1,649s",PASSED
delay,Chrome 71.0.3578.98,,2019-02-12 17:21:36,2019-02-12 17:21:46,"10,034s",PASSED
,,,,,,
Test Cases/Organizaciones/Tipo Global/Crear,Chrome 71.0.3578.98,,2019-02-12 17:21:46,2019-02-12 17:22:31,"45,227s",FAILED
callTestCase,Chrome 71.0.3578.98,,2019-02-12 17:21:46,2019-02-12 17:21:58,"11,943s",PASSED
callTestCase,Chrome 71.0.3578.98,,2019-02-12 17:21:58,2019-02-12 17:22:12,"13,569s",PASSED
delay,Chrome 71.0.3578.98,,2019-02-12 17:22:12,2019-02-12 17:22:15,"3,003s",PASSED
executeJavaScript,Chrome 71.0.3578.98,,2019-02-12 17:22:15,2019-02-12 17:22:15,"0,044s",PASSED
delay,Chrome 71.0.3578.98,,2019-02-12 17:22:15,2019-02-12 17:22:18,"3,004s",PASSED
setText,Chrome 71.0.3578.98,,2019-02-12 17:22:18,2019-02-12 17:22:18,"0,380s",PASSED
delay,Chrome 71.0.3578.98,,2019-02-12 17:22:18,2019-02-12 17:22:21,"3,003s",PASSED
setText,Chrome 71.0.3578.98,,2019-02-12 17:22:21,2019-02-12 17:22:22,"0,158s",PASSED
delay,Chrome 71.0.3578.98,,2019-02-12 17:22:22,2019-02-12 17:22:25,"3,002s",PASSED
click,Chrome 71.0.3578.98,,2019-02-12 17:22:25,2019-02-12 17:22:25,"0,119s",PASSED
delay,Chrome 71.0.3578.98,,2019-02-12 17:22:25,2019-02-12 17:22:28,"3,002s",PASSED
